Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot Cases/1M pop
Argentina,158,0,4,1,3,151,0,3
UAE,153,13,2,0,38,113,2,15
Taiwan,153,18,2,0,28,123,0,6
San Marino,151,0,20,6,4,127,12,4450
Algeria,139,45,15,4,65,59,0,3
Latvia,124,13,0,0,1,123,0,66
Costa Rica,113,0,2,0,2,109,2,22
Dominican Republic,112,40,3,1,0,109,0,10
Uruguay,110,0,0,0,0,110,0,32
Hungary,103,18,4,0,7,92,6,11
Vietnam,94,3,0,0,17,77,2,1
Bosnia and Herzegovina,93,4,1,1,2,90,1,28
Faeroe Islands,92,12,0,0,3,89,0,1883
Andorra,88,13,0,0,1,87,2,1139
Morocco,86,0,3,0,2,81,1,2
Jordan,85,0,0,0,1,84,0,8
North Macedonia,85,9,0,0,1,84,1,41
Cyprus,84,9,0,0,0,84,1,70
Brunei ,83,5,0,0,1,82,2,190
Lithuania,83,14,1,0,1,81,1,30
Moldova,80,14,1,0,1,78,3,20
Sri Lanka,77,4,0,0,3,74,2,4
Albania,76,6,2,0,2,72,2,26
Belarus,76,7,0,0,15,61,0,8
Malta,73,9,0,0,2,71,1,165
Venezuela,65,0,0,0,1,64,0,2
Burkina Faso,64,24,3,2,5,56,0,3
Tunisia,60,6,1,0,1,58,7,5
Cambodia,53,2,0,0,2,51,0,3
Azerbaijan,53,9,1,0,11,41,0,5
Kazakhstan,53,1,0,0,0,53,0,3
Palestine,52,4,0,0,17,35,0,10
Oman,52,4,0,0,13,39,0,10
New Zealand,52,0,0,0,0,52,0,11
Guadeloupe,51,0,1,0,0,50,4,127
Georgia,49,5,0,0,1,48,1,12
Trinidad and Tobago,49,40,0,0,0,49,0,35
Senegal,47,0,0,0,5,42,0,3
Réunion,45,7,0,0,0,45,0,50
Ukraine,41,0,3,0,1,37,0,0.9
Uzbekistan,41,8,0,0,0,41,0,1
Liechtenstein,37,9,0,0,0,37,0,970
Martinique,32,0,1,0,0,31,7,85
Cameroon,27,0,0,0,2,25,0,1
Afghanistan,24,0,0,0,1,23,0,0.6
Bangladesh,24,4,2,1,3,19,0,0.1
Honduras,24,0,0,0,0,24,0,2
DRC,23,5,0,0,0,23,0,0.3
Nigeria,22,10,0,0,1,21,0,0.1
Cuba,21,0,1,0,0,20,0,2
Jamaica,19,0,1,0,2,16,0,6
Bolivia,19,3,0,0,0,19,0,2
Ghana,19,3,0,0,0,19,0,0.6
Paraguay,18,0,1,1,0,17,1,3
Macao,18,1,0,0,10,8,0,28
French Guiana,18,3,0,0,0,18,0,60
Rwanda,17,0,0,0,0,17,0,1
Puerto Rico,17,3,0,0,0,17,0,6
Guatemala,17,5,1,0,0,16,0,0.9
Togo,16,7,0,0,0,16,0,2
Guam,15,1,0,0,0,15,0,89
French Polynesia,15,4,0,0,0,15,0,53
Ivory Coast,14,5,0,0,1,13,0,0.5
Montenegro,14,0,0,0,0,14,0,22
Mauritius,14,2,1,1,0,13,0,11
Channel Islands,14,2,0,0,0,14,0,81
Kyrgyzstan,14,8,0,0,0,14,0,2
Maldives,13,0,0,0,3,10,0,24
Monaco,11,0,0,0,0,11,0,280
Mongolia,10,4,0,0,0,10,0,3
Gibraltar,10,0,0,0,2,8,0,297
Ethiopia,9,0,0,0,0,9,0,0.08
Mayotte,7,0,0,0,0,7,0,26
Seychelles,7,0,0,0,0,7,0,71
Kenya,7,0,0,0,0,7,0,0.1
Barbados,6,0,0,0,0,6,0,21
Tanzania,6,0,0,0,0,6,0,0.1
U.S. Virgin Islands,6,3,0,0,0,6,0,57
Equatorial Guinea,6,0,0,0,0,6,0,4
Aruba,5,0,0,0,1,4,0,47
Guyana,5,0,1,0,0,4,0,6
Gabon,4,0,1,0,0,3,0,2
New Caledonia,4,2,0,0,0,4,0,14
Saint Martin,4,0,0,0,0,4,0,103
Bahamas,4,0,0,0,0,4,0,10
Suriname,4,0,0,0,0,4,0,7
El Salvador,3,2,0,0,0,3,0,0.5
St. Barth,3,0,0,0,0,3,0,304
Liberia,3,1,0,0,0,3,0,0.6
CAR,3,0,0,0,0,3,0,0.6
Namibia,3,0,0,0,0,3,0,1
Curaçao,3,0,1,0,0,2,0,18
Zimbabwe,3,2,0,0,0,3,0,0.2
Cayman Islands,3,0,1,0,0,2,0,46
Congo,3,0,0,0,0,3,0,0.5
Cabo Verde,3,2,0,0,0,3,0,5
Madagascar,3,0,0,0,0,3,0,0.1
Bhutan,2,0,0,0,0,2,0,3
Angola,2,1,0,0,0,2,0,0.06
Bermuda,2,0,0,0,0,2,0,32
Greenland,2,0,0,0,0,2,0,35
Mauritania,2,0,0,0,0,2,0,0.4
Isle of Man,2,0,0,0,0,2,0,24
Benin,2,0,0,0,0,2,0,0.2
Saint Lucia,2,0,0,0,0,2,0,11
Guinea,2,0,0,0,0,2,0,0.2
Nicaragua,2,0,0,0,0,2,0,0.3
Haiti,2,0,0,0,0,2,0,0.2
Fiji,2,1,0,0,0,2,0,2
Sudan,2,0,1,0,0,1,0,0.05
Zambia,2,0,0,0,0,2,0,0.1
Timor-Leste,1,1,0,0,0,1,0,0.8
Niger,1,0,0,0,0,1,0,0.04
Papua New Guinea,1,0,0,0,0,1,0,0.1
Vatican City,1,0,0,0,0,1,0,1248
Gambia,1,0,0,0,0,1,0,0.4
Djibouti,1,0,0,0,0,1,0,1
Chad,1,0,0,0,0,1,0,0.06
Nepal,1,0,0,0,1,0,0,0.03
Eswatini,1,0,0,0,0,1,0,0.9
Montserrat,1,0,0,0,0,1,0,200
Antigua and Barbuda,1,0,0,0,0,1,0,10
Somalia,1,0,0,0,0,1,0,0.06
St. Vincent Grenadines,1,0,0,0,0,1,0,9
Sint Maarten,1,0,0,0,0,1,0,23
